DAILY,PROPOSAL_ID,SUPPORT,NUMBER_OF_VOTE_TRANSACTIONS,NUMBER_OF_ADRESSES,NUMBER_OF_VOTES
2020-06-24T00:00:00Z,10,Against,7,7,161108.6704
2021-02-11T00:00:00Z,37,For,4,6,89795.89763
2020-08-26T00:00:00Z,21,For,6,6,227728.639
2020-10-08T00:00:00Z,26,For,4,5,119835.0388
2021-03-03T00:00:00Z,39,Against,2,2,165147.9284
2020-06-23T00:00:00Z,10,Against,7,7,17.516254
2020-09-28T00:00:00Z,24,For,19,19,396521.4386
2020-06-18T00:00:00Z,9,Against,5,5,38039.36673
2020-12-12T00:00:00Z,32,For,7,7,50014.45504
2020-12-24T00:00:00Z,34,Against,1,1,4.070527
2020-04-29T00:00:00Z,2,For,6,6,443074.44
2020-09-17T00:00:00Z,23,For,3,3,5001.065616
2020-06-22T00:00:00Z,10,Against,1,1,50.93316
2020-04-28T00:00:00Z,1,Against,2,2,20000
2021-02-03T00:00:00Z,36,Against,2,2,12101.31647
2020-06-28T00:00:00Z,11,Against,2,2,0.571027
2020-12-11T00:00:00Z,32,Against,2,2,18254.53
2020-06-10T00:00:00Z,6,For,1,1,100015
2020-07-10T00:00:00Z,16,For,35,35,118607.6544
2021-02-13T00:00:00Z,38,For,7,8,178049.2705
2020-07-09T00:00:00Z,15,For,47,47,404492.7775
2020-06-18T00:00:00Z,9,For,17,17,285957.1154
2020-06-28T00:00:00Z,11,For,63,63,104986.9321
2020-06-19T00:00:00Z,8,For,11,11,435256.9394
2020-08-27T00:00:00Z,21,Against,9,9,120787.1089
2020-10-13T00:00:00Z,27,For,22,22,195336.8737
2021-01-11T00:00:00Z,35,For,9,9,233954.9459
2020-08-14T00:00:00Z,19,For,15,15,165224.4244
2020-07-02T00:00:00Z,12,For,25,25,35.972389
2020-07-05T00:00:00Z,13,Against,6,6,105049.9734
2020-12-11T00:00:00Z,32,For,4,4,127913.2745
2020-07-10T00:00:00Z,15,Against,3,3,3.476578
2020-06-24T00:00:00Z,10,For,22,22,485968.938
2020-12-06T00:00:00Z,30,Against,4,4,135.596783
2021-03-12T00:00:00Z,40,For,7,9,44120.72861
2020-06-09T00:00:00Z,6,For,7,7,229743.88
2020-07-10T00:00:00Z,16,Against,7,7,165016.5081
2021-02-11T00:00:00Z,38,For,2,2,1.814888
2020-10-15T00:00:00Z,27,For,5,5,0.705272
2020-09-09T00:00:00Z,22,Against,3,3,15015.34161
2020-07-19T00:00:00Z,17,Against,2,2,1.536199
2020-06-20T00:00:00Z,9,Against,1,1,0.630398
