,DAILY,PROPOSAL_ID,SUPPORT,NUMBER_OF_VOTE_TRANSACTIONS,NUMBER_OF_ADRESSES,NUMBER_OF_VOTES
1690,2022-03-29T00:00:00Z,id46,For,5,5,9
1691,2022-03-29T00:00:00Z,id46,Abstain,1,1,2
1692,2022-03-27T00:00:00Z,id46,For,10,10,55
1693,2022-03-28T00:00:00Z,id46,Abstain,1,1,1
1694,2022-03-26T00:00:00Z,id45,For,2,2,3
1695,2022-03-27T00:00:00Z,id45,For,6,6,37
1696,2022-03-25T00:00:00Z,id45,For,4,4,21
1697,2022-03-21T00:00:00Z,id44,Abstain,1,1,1
1698,2022-03-19T00:00:00Z,id44,Abstain,1,1,0
1699,2022-03-22T00:00:00Z,id44,For,3,3,6
1700,2022-03-21T00:00:00Z,id44,For,10,10,49
1701,2022-03-20T00:00:00Z,id44,For,2,2,1
1702,2022-03-19T00:00:00Z,id44,For,2,2,22
1703,2022-03-21T00:00:00Z,id44,Against,1,1,1
1704,2022-03-11T00:00:00Z,id43,For,2,2,6
1705,2022-03-12T00:00:00Z,id43,For,5,5,17
1706,2022-03-14T00:00:00Z,id43,For,9,9,29
1707,2022-03-13T00:00:00Z,id43,For,4,4,15
1708,2022-03-05T00:00:00Z,id42,For,6,6,9
1709,2022-03-08T00:00:00Z,id42,For,4,4,25
1710,2022-03-07T00:00:00Z,id42,For,6,6,12
1711,2022-03-06T00:00:00Z,id42,For,7,7,15
1712,2022-03-06T00:00:00Z,id41,For,5,5,17
1713,2022-03-05T00:00:00Z,id41,For,4,4,6
1714,2022-03-04T00:00:00Z,id41,For,2,2,19
1715,2022-02-28T00:00:00Z,id40,For,3,3,10
1716,2022-03-02T00:00:00Z,id40,For,2,2,8
1717,2022-03-01T00:00:00Z,id40,For,13,13,52
1718,2022-02-19T00:00:00Z,id39,For,2,2,2
1719,2022-02-20T00:00:00Z,id39,For,2,2,7
1720,2022-02-18T00:00:00Z,id39,For,7,7,47
1721,2022-02-13T00:00:00Z,id38,For,2,2,5
1722,2022-02-14T00:00:00Z,id38,For,7,7,28
1723,2022-02-16T00:00:00Z,id38,For,3,3,21
1724,2022-02-15T00:00:00Z,id38,For,6,6,18
1725,2022-02-06T00:00:00Z,id37,Against,1,1,14
1726,2022-02-07T00:00:00Z,id37,For,7,7,31
1727,2022-02-06T00:00:00Z,id37,For,10,10,19
1728,2022-01-28T00:00:00Z,id36,For,1,1,2
1729,2022-01-29T00:00:00Z,id36,For,1,1,7
1730,2022-01-27T00:00:00Z,id36,For,6,6,36
1731,2022-01-27T00:00:00Z,id36,Against,1,1,1
1732,2022-01-24T00:00:00Z,id35,For,3,3,16
1733,2022-01-23T00:00:00Z,id35,For,1,1,1
1734,2022-01-22T00:00:00Z,id35,For,7,7,30
1735,2022-01-15T00:00:00Z,id34,For,2,2,2
1736,2022-01-16T00:00:00Z,id34,For,3,3,8
1737,2022-01-14T00:00:00Z,id34,For,7,7,41
1738,2022-01-15T00:00:00Z,id33,Against,1,1,1
1739,2022-01-15T00:00:00Z,id33,For,5,5,7
1740,2022-01-13T00:00:00Z,id33,For,11,11,39
1741,2022-01-16T00:00:00Z,id33,For,5,5,11
1742,2022-01-14T00:00:00Z,id33,For,3,3,18
1743,2022-01-09T00:00:00Z,id32,For,1,1,1
1744,2022-01-08T00:00:00Z,id32,For,4,4,35
1745,2022-01-08T00:00:00Z,id31,For,3,3,19
1746,2022-01-09T00:00:00Z,id31,For,1,1,1
1747,2022-01-07T00:00:00Z,id31,For,2,2,13
