,WEEKLY,PROPOSAL_ID,SUPPORT,NUMBER_OF_VOTE_TRANSACTIONS,NUMBER_OF_ADRESSES,NUMBER_OF_VOTES
316,8/22/2022,id133,Against,8,8,99
317,8/22/2022,id132,For,6,6,22
318,8/22/2022,id132,Abstain,1,1,1
319,8/22/2022,id132,Against,4,4,52
320,8/29/2022,id136,Against,2,2,2
321,8/29/2022,id135,For,8,8,43
322,8/29/2022,id134,Against,8,8,42
323,8/29/2022,id134,For,9,9,12
324,9/5/2022,id139,Abstain,1,1,0
325,9/5/2022,id139,Against,1,1,0
326,9/5/2022,id139,For,9,9,25
327,9/5/2022,id138,For,10,10,64
328,9/5/2022,id138,Against,5,5,7
329,9/5/2022,id137,For,12,12,74
330,9/5/2022,id137,Against,1,1,0
331,9/5/2022,id136,Against,10,10,95
332,9/5/2022,id136,For,5,5,43
333,9/5/2022,id135,For,13,13,97
334,9/5/2022,id134,For,4,4,17
335,9/5/2022,id134,Abstain,1,1,2
336,9/5/2022,id134,Against,8,8,81
337,9/12/2022,id141,For,14,14,52
338,9/12/2022,id141,Against,3,3,80
339,9/12/2022,id140,For,25,25,140
340,9/12/2022,id139,For,23,23,85
341,9/12/2022,id138,For,5,5,23
342,9/12/2022,id138,Against,7,7,58
343,9/12/2022,id137,For,7,7,80
344,9/19/2022,id143,For,32,32,176
345,9/19/2022,id142,For,28,28,143
346,9/19/2022,id142,Against,1,1,29
347,9/19/2022,id141,For,5,5,26
348,9/19/2022,id141,Against,5,5,8
349,9/26/2022,id147,Against,6,6,1
350,9/26/2022,id147,For,35,35,87
351,9/26/2022,id146,Abstain,3,3,3
352,9/26/2022,id146,Against,13,13,53
353,9/26/2022,id146,For,28,28,32
354,9/26/2022,id145,Abstain,2,2,2
355,9/26/2022,id145,Against,6,6,14
356,9/26/2022,id145,For,29,29,149
357,9/26/2022,id144,Against,3,3,31
358,9/26/2022,id144,For,11,11,106
359,10/3/2022,id151,Against,3,3,8
360,10/3/2022,id151,Abstain,4,4,53
361,10/3/2022,id151,For,29,29,94
362,10/3/2022,id150,Against,2,2,2
363,10/3/2022,id150,For,30,30,171
364,10/3/2022,id149,For,2,2,3
365,10/3/2022,id149,Against,7,7,23
366,10/3/2022,id149,Abstain,1,1,2
367,10/3/2022,id147,For,5,5,53
