,DAILY,PROPOSAL_ID,SUPPORT,NUMBER_OF_VOTE_TRANSACTIONS,NUMBER_OF_ADRESSES,NUMBER_OF_VOTES
41,2020-10-25T00:00:00Z,id2,For,58,58,25598.54963
42,2020-10-24T00:00:00Z,id2,For,21,21,15725950.21
43,2020-10-27T00:00:00Z,id2,For,41,41,3949453.178
44,2020-10-24T00:00:00Z,id2,Against,16,16,552261.4399
45,2020-10-28T00:00:00Z,id2,For,16,16,2301.501642
46,2020-10-28T00:00:00Z,id2,Against,7,7,8464.992953
47,2021-08-19T00:00:00Z,id2,For,25,25,12368173.63
48,2021-08-19T00:00:00Z,id2,Against,56,56,46988496.52
49,2021-08-14T00:00:00Z,id2,For,7,7,2840.776017
50,2021-08-18T00:00:00Z,id2,For,8,8,13032232.79
51,2020-12-23T00:00:00Z,id3,For,13,13,15890283.66
52,2020-12-21T00:00:00Z,id3,For,25,25,15404154.83
53,2020-12-17T00:00:00Z,id3,For,1,1,10003341.51
54,2020-12-19T00:00:00Z,id3,For,43,43,2553471.463
55,2020-12-19T00:00:00Z,id3,Against,4,4,1058.414289
56,2021-08-25T00:00:00Z,id3,For,23,23,5531583.441
57,2021-08-20T00:00:00Z,id3,For,16,16,15565904.22
58,2021-08-22T00:00:00Z,id3,For,26,26,12861323.45
59,2020-12-20T00:00:00Z,id3,For,33,33,36617.01564
60,2021-08-21T00:00:00Z,id3,For,24,24,2501721.387
61,2020-12-18T00:00:00Z,id3,Against,6,6,7848.109343
62,2021-08-22T00:00:00Z,id3,Against,1,1,428.373673
63,2021-08-20T00:00:00Z,id3,Against,3,3,2005.149604
64,2020-12-23T00:00:00Z,id3,Against,1,1,130.611972
65,2020-12-18T00:00:00Z,id3,For,44,44,16187888.99
66,2021-08-24T00:00:00Z,id3,For,2,2,15010156.72
67,2021-08-23T00:00:00Z,id3,For,4,4,10250334.54
68,2020-12-21T00:00:00Z,id3,Against,2,2,263.249525
69,2020-12-24T00:00:00Z,id3,For,3,3,9693.152394
70,2020-12-22T00:00:00Z,id3,For,14,14,3361.961644
71,2021-08-26T00:00:00Z,id3,For,2,2,1740658.235
72,2021-06-03T00:00:00Z,id4,For,18,18,19028751.23
73,2021-06-04T00:00:00Z,id4,For,63,63,42295732.29
74,2021-06-04T00:00:00Z,id4,Against,1,1,1504.290705
75,2021-06-08T00:00:00Z,id4,For,16,16,16601569.64
76,2022-03-20T00:00:00Z,id4,For,1,1,0.089595
77,2021-06-07T00:00:00Z,id4,For,11,11,2553.543957
78,2021-06-06T00:00:00Z,id4,For,12,12,842.407093
79,2021-06-05T00:00:00Z,id4,For,20,20,10545919.06
80,2021-06-09T00:00:00Z,id4,For,6,6,2505401.437
81,2021-06-03T00:00:00Z,id4,Against,1,1,531.445638
82,2021-06-12T00:00:00Z,id5,For,12,12,10459856.14
83,2021-06-16T00:00:00Z,id5,For,6,6,0.0
84,2021-06-13T00:00:00Z,id5,Against,2,2,5650.566
85,2021-06-13T00:00:00Z,id5,For,32,32,4004699.224
86,2021-06-17T00:00:00Z,id5,For,2,2,0.0
87,2021-06-15T00:00:00Z,id5,For,1,1,400.0
88,2021-11-04T00:00:00Z,id9,For,1,1,100.000738
89,2021-11-10T00:00:00Z,id9,For,7,7,9999309.05
90,2021-11-07T00:00:00Z,id9,For,6,6,10377015.9
91,2021-11-08T00:00:00Z,id9,For,7,7,9431954.671
92,2021-11-06T00:00:00Z,id9,For,10,10,10205338.93
93,2021-11-09T00:00:00Z,id9,For,4,4,20000004.24
94,2021-11-05T00:00:00Z,id9,For,6,6,11356046.4
95,2021-12-16T00:00:00Z,id10,For,5,5,7500130.199
96,2021-12-13T00:00:00Z,id10,For,16,16,239621.422
97,2021-12-12T00:00:00Z,id10,For,34,34,29991697.91
98,2021-12-15T00:00:00Z,id10,For,8,8,18001184.72
99,2021-12-14T00:00:00Z,id10,For,5,5,10650481.93
100,2021-12-14T00:00:00Z,id10,Against,1,1,300.866127
101,2021-12-18T00:00:00Z,id10,For,1,1,644864.9371
102,2021-12-17T00:00:00Z,id10,For,2,2,5098235.093
103,2021-12-12T00:00:00Z,id10,Against,3,3,502708.5433
104,2022-03-08T00:00:00Z,id11,For,38,38,10534188.12
105,2022-03-07T00:00:00Z,id11,For,18,18,19524857.56
106,2022-03-05T00:00:00Z,id11,For,223,223,6400882.388
107,2022-03-03T00:00:00Z,id11,For,1168,1168,12371603.13
108,2022-03-03T00:00:00Z,id11,Against,1,1,1.000031
109,2022-03-06T00:00:00Z,id11,For,180,180,3575723.019
110,2022-03-09T00:00:00Z,id11,For,20,20,7502494.178
111,2022-03-05T00:00:00Z,id11,Against,12,12,2.420639
112,2022-03-04T00:00:00Z,id11,Against,2,2,3.0
113,2022-03-04T00:00:00Z,id11,For,302,302,17503592.93
114,2022-03-07T00:00:00Z,id11,Against,1,1,1255.285129
115,2022-03-21T00:00:00Z,id13,For,3,3,5001041.949
116,2022-03-22T00:00:00Z,id13,For,334,334,13902337.12
117,2022-03-26T00:00:00Z,id13,Against,1,1,727.894542
118,2022-03-23T00:00:00Z,id13,Abstain,1,1,2500000.0
119,2022-03-23T00:00:00Z,id13,For,273,273,13503340.94
120,2022-03-27T00:00:00Z,id13,Against,3,3,9384796.754
121,2022-03-22T00:00:00Z,id13,Against,4,4,1282.211465
122,2022-03-24T00:00:00Z,id13,For,31,31,4402298.006
123,2022-03-26T00:00:00Z,id13,For,68,68,4500335.404
124,2022-03-27T00:00:00Z,id13,For,382,382,3001649.941
125,2022-03-25T00:00:00Z,id13,For,30,30,6198980.786
126,2022-03-23T00:00:00Z,id13,Against,1,1,2500500.0
127,2022-04-08T00:00:00Z,id14,For,44,44,2488.125257
128,2022-04-03T00:00:00Z,id14,For,3,3,3500482.609
129,2022-04-07T00:00:00Z,id14,For,53,55,2709801.869
130,2022-04-09T00:00:00Z,id14,For,13,13,17.5
131,2022-04-04T00:00:00Z,id14,For,10,10,7931854.013
132,2022-04-06T00:00:00Z,id14,For,184,184,16128076.69
133,2022-04-05T00:00:00Z,id14,For,2,2,13500029.46
134,2022-04-23T00:00:00Z,id16,For,53,53,14313976.71
135,2022-04-25T00:00:00Z,id16,For,41,41,7001817.379
136,2022-04-23T00:00:00Z,id16,Against,1,1,1470.702544
137,2022-04-24T00:00:00Z,id16,Abstain,1,1,206276.3784
138,2022-04-28T00:00:00Z,id16,For,1,1,400.217368
139,2022-04-26T00:00:00Z,id16,For,18,18,28235702.42
140,2022-04-27T00:00:00Z,id16,For,19,19,9500103.445
141,2022-04-29T00:00:00Z,id16,For,2,3,77.696349
142,2022-04-22T00:00:00Z,id16,For,2,2,3.155
143,2022-04-24T00:00:00Z,id16,For,723,724,503934.1817
144,2022-05-11T00:00:00Z,id17,For,13,13,2500023.39
145,2022-05-08T00:00:00Z,id17,For,628,628,25999.09996
146,2022-05-09T00:00:00Z,id17,Against,1,1,0.0
147,2022-05-10T00:00:00Z,id17,Abstain,1,1,0.0
148,2022-05-09T00:00:00Z,id17,For,192,192,2503116.029
149,2022-05-10T00:00:00Z,id17,For,36,36,105.008266
150,2022-05-08T00:00:00Z,id18,For,545,545,12594.34541
151,2022-05-09T00:00:00Z,id18,For,140,140,2500378.827
152,2022-05-10T00:00:00Z,id18,For,9,9,1113.757584
153,2022-05-15T00:00:00Z,id19,For,278,278,2730473.906
154,2022-05-16T00:00:00Z,id19,Against,1,1,2678.180268
155,2022-05-18T00:00:00Z,id19,For,49,52,5134220.602
156,2022-05-18T00:00:00Z,id19,Against,1,1,400.0
157,2022-05-17T00:00:00Z,id19,For,35,35,16643362.58
158,2022-05-14T00:00:00Z,id19,For,18,18,3500625.181
159,2022-05-13T00:00:00Z,id19,For,6,6,5001093.268
160,2022-05-19T00:00:00Z,id19,For,46,46,51.98671
161,2022-05-16T00:00:00Z,id19,For,24,24,17680890.89
162,2022-05-20T00:00:00Z,id20,For,41,41,509.554231
163,2022-05-16T00:00:00Z,id20,For,49,49,17681055.57
164,2022-05-18T00:00:00Z,id20,For,71,73,3018357.854
165,2022-05-13T00:00:00Z,id20,For,3,3,2500039.939
166,2022-05-17T00:00:00Z,id20,For,83,83,16644040.01
167,2022-05-15T00:00:00Z,id20,For,328,328,2720628.331
168,2022-05-14T00:00:00Z,id20,For,33,33,3502951.9
169,2022-05-19T00:00:00Z,id20,For,51,51,1625.444321
170,2022-05-16T00:00:00Z,id20,Against,1,1,2678.180268
171,2022-05-18T00:00:00Z,id20,Against,1,1,400.0
172,2022-06-19T00:00:00Z,id22,Abstain,1,1,0.0
173,2022-06-21T00:00:00Z,id22,For,61,61,25222997.88
174,2022-06-19T00:00:00Z,id22,Against,2,2,0.0
175,2022-06-20T00:00:00Z,id22,Against,5,5,56.464891
176,2022-06-18T00:00:00Z,id22,For,232,232,2502609.692
177,2022-06-24T00:00:00Z,id22,For,11,12,17501214.64
178,2022-06-21T00:00:00Z,id22,Abstain,2,2,2500000.0
179,2022-06-21T00:00:00Z,id22,Against,1,1,1005.413607
180,2022-06-22T00:00:00Z,id22,For,59,59,3109077.768
181,2022-06-20T00:00:00Z,id22,For,305,305,2501607.179
182,2022-06-19T00:00:00Z,id22,For,536,536,2524794.886
183,2022-06-25T00:00:00Z,id22,For,18,18,2502431.43
184,2022-06-18T00:00:00Z,id22,Against,2,2,1.0
185,2022-06-23T00:00:00Z,id22,For,12,12,14533862.12
186,2022-07-09T00:00:00Z,id23,For,6,6,7337009.176
187,2022-07-13T00:00:00Z,id23,Abstain,2,2,3.06519
188,2022-07-14T00:00:00Z,id23,Against,3,3,28.957368
189,2022-07-13T00:00:00Z,id23,For,283,283,17502552.88
190,2022-07-10T00:00:00Z,id23,For,72,72,363.860797
191,2022-07-13T00:00:00Z,id23,Against,2,2,360.7
192,2022-07-11T00:00:00Z,id23,For,43,43,7503538.128
193,2022-07-15T00:00:00Z,id23,For,164,167,2702655.94
194,2022-07-14T00:00:00Z,id23,For,154,154,2504637.337
195,2022-07-12T00:00:00Z,id23,Against,1,1,1.0
196,2022-07-12T00:00:00Z,id23,For,212,212,13083992.42
197,2022-08-22T00:00:00Z,id24,For,295,295,1590.743268
198,2022-08-19T00:00:00Z,id24,Abstain,1,1,200609.9992
199,2022-08-18T00:00:00Z,id24,For,113,113,20462896.52
200,2022-08-20T00:00:00Z,id24,Against,4,4,366.773029
201,2022-08-24T00:00:00Z,id24,For,34,34,4624824.121
202,2022-08-23T00:00:00Z,id24,For,238,238,58728.69061
203,2022-08-21T00:00:00Z,id24,Abstain,1,1,1.12
204,2022-08-18T00:00:00Z,id24,Against,1,1,401.77892
205,2022-08-22T00:00:00Z,id24,Against,1,1,1.0
206,2022-08-21T00:00:00Z,id24,For,1092,1092,4014.370254
207,2022-08-20T00:00:00Z,id24,For,600,600,51858.53316
208,2022-08-17T00:00:00Z,id24,For,24,24,51561497.28
209,2022-08-19T00:00:00Z,id24,For,54,54,9533185.015
210,2022-08-21T00:00:00Z,id24,Against,3,3,1.165467
211,2022-10-08T00:00:00Z,id25,Against,3,3,12.090142
212,2022-10-13T00:00:00Z,id25,For,2119,2120,10741881.22
213,2022-10-09T00:00:00Z,id25,For,370,370,3558136.593
214,2022-10-09T00:00:00Z,id25,Against,1,1,1.182297
215,2022-10-11T00:00:00Z,id25,Against,4,4,102.567384
216,2022-10-12T00:00:00Z,id25,For,1012,1012,12107278.69
217,2022-10-14T00:00:00Z,id25,Abstain,5,5,0.0
218,2022-10-14T00:00:00Z,id25,Against,1,1,0.198583
219,2022-10-08T00:00:00Z,id25,For,893,893,9056.110616
220,2022-10-14T00:00:00Z,id25,For,864,864,27401747.53
221,2022-10-10T00:00:00Z,id25,For,172,172,11177031.76
222,2022-10-13T00:00:00Z,id25,Abstain,2,2,0.35
223,2022-10-11T00:00:00Z,id25,For,366,366,7426341.884
224,2022-10-13T00:00:00Z,id25,Against,17,17,2.083
225,2022-10-12T00:00:00Z,id25,Against,6,6,2.396939
226,2022-12-20T00:00:00Z,id28,For,150,150,2500490.355
227,2022-12-19T00:00:00Z,id28,Abstain,1,1,10.0
228,2022-12-17T00:00:00Z,id28,For,359,359,2251.957673
229,2022-12-18T00:00:00Z,id28,Abstain,1,1,1.0
230,2022-12-18T00:00:00Z,id28,For,418,418,3540606.117
231,2022-12-16T00:00:00Z,id28,For,35,35,3003653.795
232,2022-12-19T00:00:00Z,id28,Against,3,3,11.764495
233,2022-12-19T00:00:00Z,id28,For,477,477,2502991.784
234,2022-12-17T00:00:00Z,id28,Against,10,10,42.096725
235,2022-12-18T00:00:00Z,id28,Against,4,4,4.150539
236,2022-12-20T00:00:00Z,id28,Against,9,9,4919160.362
237,2022-12-16T00:00:00Z,id28,Against,2,2,26.707876
238,2022-12-22T00:00:00Z,id29,For,275,275,21897639.96
239,2022-12-23T00:00:00Z,id29,Against,1,1,0.082531
240,2022-12-24T00:00:00Z,id29,For,283,283,869.098828
241,2022-12-20T00:00:00Z,id29,Against,3,3,13.25395
242,2022-12-19T00:00:00Z,id29,Against,1,1,2.5
243,2022-12-21T00:00:00Z,id29,For,392,392,4920341.585
244,2022-12-18T00:00:00Z,id29,For,46,46,3000230.382
245,2022-12-23T00:00:00Z,id29,For,259,259,20743743.83
246,2022-12-20T00:00:00Z,id29,For,291,291,2500770.081
247,2022-12-22T00:00:00Z,id29,Against,3,3,3.067696
248,2022-12-21T00:00:00Z,id29,Against,2,2,6.984864
249,2022-12-20T00:00:00Z,id29,Abstain,1,1,1.5
250,2022-12-22T00:00:00Z,id29,Abstain,1,1,10.0
251,2022-12-18T00:00:00Z,id29,Against,2,2,10.843973
252,2022-12-23T00:00:00Z,id29,Abstain,1,1,0.068217
253,2022-12-19T00:00:00Z,id29,For,260,260,2505094.999
254,2023-01-28T00:00:00Z,id30,For,203,203,3302504.21
255,2023-01-31T00:00:00Z,id30,For,130,130,16066321.9
256,2023-02-02T00:00:00Z,id30,For,60,60,5500495.598
257,2023-01-31T00:00:00Z,id30,Abstain,1,1,1.0
258,2023-01-30T00:00:00Z,id30,Against,30,30,21.842139
259,2023-01-27T00:00:00Z,id30,For,26,26,9000696.078
260,2023-01-30T00:00:00Z,id30,For,385,385,7034961.063
261,2023-02-01T00:00:00Z,id30,Against,1,1,200000.0
262,2023-01-29T00:00:00Z,id30,Against,3,3,2500002.05
263,2023-01-28T00:00:00Z,id30,Against,1,1,70.074144
264,2023-01-29T00:00:00Z,id30,For,173,173,560.10971
265,2023-01-31T00:00:00Z,id30,Against,6,6,251.069118
266,2023-02-01T00:00:00Z,id30,For,227,227,10100761.26
267,2023-02-06T00:00:00Z,id31,For,663,663,19017304.61
268,2023-02-10T00:00:00Z,id31,Abstain,1,1,200000.0
269,2023-02-10T00:00:00Z,id31,For,87,88,813.542144
270,2023-02-08T00:00:00Z,id31,Against,5,5,13.327659
271,2023-02-05T00:00:00Z,id31,For,147,147,12923474.85
272,2023-02-05T00:00:00Z,id31,Against,138,138,15063140.12
273,2023-02-06T00:00:00Z,id31,Against,167,167,125944.6201
274,2023-02-07T00:00:00Z,id31,Against,42,42,337.375408
275,2023-02-06T00:00:00Z,id31,Abstain,10,10,8.186143
276,2023-02-10T00:00:00Z,id31,Against,4,4,19.877003
277,2023-02-08T00:00:00Z,id31,Abstain,1,1,250000.0
278,2023-02-08T00:00:00Z,id31,For,77,77,2501368.161
279,2023-02-07T00:00:00Z,id31,For,222,222,16436204.19
280,2023-02-04T00:00:00Z,id31,For,4,4,2500516.074
281,2023-02-09T00:00:00Z,id31,For,110,110,2500346.324
282,2023-02-09T00:00:00Z,id31,Against,4,4,13277299.91
283,2023-02-05T00:00:00Z,id31,Abstain,3,3,1.044532
284,2023-02-15T00:00:00Z,id32,Against,1,1,6.004277
285,2023-02-14T00:00:00Z,id32,For,308,308,19219602.85
286,2023-02-13T00:00:00Z,id32,Against,1,1,0.1
287,2023-02-10T00:00:00Z,id32,For,121,121,4929393.295
288,2023-02-15T00:00:00Z,id32,Abstain,1,1,10.0
289,2023-02-13T00:00:00Z,id32,For,212,212,11105618.82
290,2023-02-11T00:00:00Z,id32,For,977,977,3010209.46
291,2023-02-11T00:00:00Z,id32,Abstain,1,1,1.0
292,2023-02-15T00:00:00Z,id32,For,143,143,408.31732
293,2023-02-11T00:00:00Z,id32,Against,2,2,4.311235
294,2023-02-12T00:00:00Z,id32,For,1034,1034,3303752.6
295,2023-02-12T00:00:00Z,id32,Against,18,18,0.38986
296,2023-03-14T00:00:00Z,id33,Against,1,1,202.014464
297,2023-03-12T00:00:00Z,id33,Abstain,6,6,11.678902
298,2023-03-16T00:00:00Z,id33,Against,1,1,6.037701
299,2023-03-12T00:00:00Z,id33,For,159,159,3503221.953
300,2023-03-13T00:00:00Z,id33,For,84,84,7035369.482
301,2023-03-14T00:00:00Z,id33,For,47,47,3302124.507
302,2023-03-15T00:00:00Z,id33,For,25,25,1000798.727
303,2023-03-13T00:00:00Z,id33,Against,2,2,2500004.737
304,2023-03-16T00:00:00Z,id33,Abstain,1,1,2.503609
305,2023-03-11T00:00:00Z,id33,For,1,1,15.0
306,2023-03-12T00:00:00Z,id33,Against,5,5,0.05
307,2023-03-17T00:00:00Z,id33,Against,1,1,9.250983
308,2023-03-16T00:00:00Z,id33,For,31,31,33002954.54
309,2023-03-17T00:00:00Z,id33,For,19,20,500401.8269
310,2023-03-15T00:00:00Z,id33,Against,1,1,1.142174
311,2023-04-10T00:00:00Z,id34,For,41,41,16903631.36
312,2023-04-13T00:00:00Z,id34,For,19,19,10533400.91
313,2023-04-09T00:00:00Z,id34,For,59,59,635.406469
314,2023-04-08T00:00:00Z,id34,For,11,11,619.095239
315,2023-04-12T00:00:00Z,id34,For,18,18,2448799.578
316,2023-04-09T00:00:00Z,id34,Abstain,1,1,0.0
317,2023-04-14T00:00:00Z,id34,For,4,4,45.718061
318,2023-04-11T00:00:00Z,id34,For,42,42,12560841.05
319,2023-04-10T00:00:00Z,id36,Against,1,1,1.174874
320,2023-04-13T00:00:00Z,id36,For,15,15,13205620.33
321,2023-04-09T00:00:00Z,id36,For,6,6,5.034644
322,2023-04-14T00:00:00Z,id36,For,14,14,507.545231
323,2023-04-11T00:00:00Z,id36,Against,1,1,0.01
324,2023-04-10T00:00:00Z,id36,For,54,54,16303421.44
325,2023-04-12T00:00:00Z,id36,For,17,17,5948952.552
326,2023-04-15T00:00:00Z,id36,For,21,21,169.664889
327,2023-04-11T00:00:00Z,id36,For,44,44,7504763.401
328,2023-04-16T00:00:00Z,id37,Against,3,3,6155.002475
329,2023-04-17T00:00:00Z,id37,For,6,6,1500329.459
330,2023-04-14T00:00:00Z,id37,For,3,3,105.112706
331,2023-04-20T00:00:00Z,id37,For,5,5,6598428.733
332,2023-04-19T00:00:00Z,id37,For,15,15,41779601.86
333,2023-04-16T00:00:00Z,id37,For,21,21,71.129708
334,2023-04-15T00:00:00Z,id37,For,26,26,154.275264
335,2023-05-01T00:00:00Z,id38,For,1,1,22.677875
336,2023-05-02T00:00:00Z,id38,For,3,3,182.359357
337,2023-04-29T00:00:00Z,id38,For,29,29,9402948.563
338,2023-05-03T00:00:00Z,id38,For,9,9,32534278.84
339,2023-04-30T00:00:00Z,id38,For,8,8,4500211.412
340,2023-04-28T00:00:00Z,id38,For,3,3,2502492.798
341,2023-04-28T00:00:00Z,id38,Abstain,1,1,6151.896451
342,2023-05-04T00:00:00Z,id38,For,3,3,3.825618
343,2023-05-15T00:00:00Z,id39,For,8,8,31.256615
344,2023-05-12T00:00:00Z,id39,Against,1,1,1.0
345,2023-05-14T00:00:00Z,id39,For,5,5,821.711582
346,2023-05-13T00:00:00Z,id39,For,7,7,56.227941
347,2023-05-12T00:00:00Z,id39,For,7,7,12239927.39
348,2023-05-14T00:00:00Z,id39,Against,1,1,0.0
