DAILY,PROPOSAL_ID,SUPPORT,NUMBER_OF_VOTE_TRANSACTIONS,NUMBER_OF_ADRESSES,NUMBER_OF_VOTES
2022-07-13T00:00:00Z,23,Abstain,2,2,3.06519
2022-07-14T00:00:00Z,23,Against,3,3,28.957368
2022-07-13T00:00:00Z,23,For,283,283,17502552.88
2022-07-10T00:00:00Z,23,For,72,72,363.860797
2022-07-13T00:00:00Z,23,Against,2,2,360.7
2022-07-11T00:00:00Z,23,For,43,43,7503538.128
2022-07-15T00:00:00Z,23,For,164,167,2702655.94
2022-07-14T00:00:00Z,23,For,154,154,2504637.337
2022-07-12T00:00:00Z,23,Against,1,1,1
2022-07-12T00:00:00Z,23,For,212,212,13083992.42
2022-08-22T00:00:00Z,24,For,295,295,1590.743268
2022-08-19T00:00:00Z,24,Abstain,1,1,200609.9992
2022-08-18T00:00:00Z,24,For,113,113,20462896.52
2022-08-20T00:00:00Z,24,Against,4,4,366.773029
2022-08-24T00:00:00Z,24,For,34,34,4624824.121
2022-08-23T00:00:00Z,24,For,238,238,58728.69061
2022-08-21T00:00:00Z,24,Abstain,1,1,1.12
2022-08-18T00:00:00Z,24,Against,1,1,401.77892
2022-08-22T00:00:00Z,24,Against,1,1,1
2022-08-21T00:00:00Z,24,For,1092,1092,4014.370254
2022-08-20T00:00:00Z,24,For,600,600,51858.53316
2022-08-17T00:00:00Z,24,For,24,24,51561497.28
2022-08-19T00:00:00Z,24,For,54,54,9533185.015
2022-08-21T00:00:00Z,24,Against,3,3,1.165467
2022-10-08T00:00:00Z,25,Against,3,3,12.090142
2022-10-13T00:00:00Z,25,For,2119,2120,10741881.22
2022-10-09T00:00:00Z,25,For,370,370,3558136.593
2022-10-09T00:00:00Z,25,Against,1,1,1.182297
2022-10-11T00:00:00Z,25,Against,4,4,102.567384
2022-10-12T00:00:00Z,25,For,1012,1012,12107278.69
2022-10-14T00:00:00Z,25,Abstain,5,5,0
2022-10-14T00:00:00Z,25,Against,1,1,0.198583
2022-10-08T00:00:00Z,25,For,893,893,9056.110616
2022-10-14T00:00:00Z,25,For,864,864,27401747.53
2022-10-10T00:00:00Z,25,For,172,172,11177031.76
2022-10-13T00:00:00Z,25,Abstain,2,2,0.35
2022-10-11T00:00:00Z,25,For,366,366,7426341.884
2022-10-13T00:00:00Z,25,Against,17,17,2.083
2022-10-12T00:00:00Z,25,Against,6,6,2.396939
